,PLAYER NAME,TEAM NAME,PLAYER POSITION,2019 CAR,2019 RUSH YDS,2019 RUSH AVG,2019 RUSH TD,2019 REC,2019 REC YDS,2019 REC TDS,2019 FPTS,2020 CAR,2020 RUSH YARDS,2020 RUSH AVG,2020 RUSH TD,2020 REC,2020 REC YDS,2020 REC TD,2020 FPTS,Player OUTLOOK
53,Jaylen Samuels,Steelers,RB,66,175,2.7,1,47,305,1,104.4,41,167,4.1,1,41,301,2,103.71,"Samuels returns as a passing-down specialist in Pittsburgh. The 2018 fifth-rounder entered the league as an H-Back but has made some slight noise in fantasy in relief of the oft-injured James Conner. Samuels doesn't see enough work to allow stand-alone value, and even if Conner were to miss time, Pittsburgh doesn't seem interested in Samuels as anything more than a situational rusher (he has 56 and 66 carries, respectively, in his two seasons). Samuels will have his hands full beating Conner, Benny Snell Jr. and rookie Anthony McFarland Jr. for snaps this season. He's no more than a late-round flier in deep PPR leagues."
54,Tony Pollard,Cowboys,RB,86,455,5.3,2,15,107,1,89.2,83,364,4.4,2,26,205,1,102.88,"Pollard remains Ezekiel Elliott's primary backup as he enters his second NFL season. The 2019 fourth-round pick generated some hype last offseason during Elliott's holdout but ended up touching the ball only 101 times during his rookie campaign. Pollard showed well ' he averaged 5.3 YPC, and his 2.7 YAC was tops in the league ' but didn't see the field much, with Elliott appearing in all 16 games. Pollard is unlikely to produce stand-alone value, but he has the size and skill set to take on a substantial chunk of Elliott's workload, should Elliott miss time. Stash Pollard on your bench."
55,Alexander Mattison,Vikings,RB,100,462,4.6,1,10,82,0,68.4,118,495,4.2,3,16,132,1,97.96,"Mattison enters his second NFL season in the same position he was in as a rookie: Dalvin Cook's handcuff. The 2019 third-round pick impressed in his first season, producing 544 yards on 110 touches. Mattison averaged 4.6 YPC despite facing an average of 7.3 in-box defenders, highest in the NFL. Mattison is entering his age-22 season without much stand-alone value, but there's no doubt that he would vault to RB1 territory in the event of a Dalvin Cook injury in Minnesota's run-heavy scheme. Draft him, and stash him."
58,Giovani Bernard,Bengals,RB,53,170,3.2,0,30,234,0,68.4,63,261,4.1,1,28,220,1,87.93,"Bernard is a change-of-pace and passing-down complement to Joe Mixon in Cincinnati. The 28-year-old has been a solid presence throughout his seven-year NFL career, but his fantasy contributions have declined significantly the past four seasons. A top-20 back in both targets and fantasy points in his first three seasons, Bernard ranked 32nd in targets in 2020 and has one top-40 fantasy season in the past four campaigns. Bernard would need a Mixon injury to approach fantasy relevance, and even then, he's likely to operate in a timeshare."
59,Jalen Richard,Raiders,RB,39,145,3.7,0,36,323,0,82.8,52,236,4.5,1,29,243,1,87.73,"Richard is the passing-down complement to Josh Jacobs in Las Vegas. Richard broke out with 68 receptions for 607 yards in 2018, but his usage was nearly cut in half (36-323) with Jacobs in the mix last season. Despite a 5.0 career YPC, Richard hasn't cleared 56 carries in a season since 2016, and the Raiders appear committed to Jacobs' taking on an even larger role as a receiver in 2020. Especially with third-round pick Lynn Bowden likely to steal the occasional touch, Richard is worth a look in only the deepest of PPR leagues."
60,Ito Smith,Falcons,RB,22,106,4.8,1,11,87,0,36.3,61,248,4.1,2,24,182,1,82.92,"Following two seasons behind Devonta Freeman, Smith is expected to operate as Todd Gurley's primary backup in Atlanta this season. Smith struggled with effectiveness (3.5 YPC, 4.8 YPT) on 117 touches as a fourth-round rookie in 2018 and was limited by injury to 33 touches in seven games last season. The 195-pound scat back would need a Gurley injury to find his way into a backfield committee. He's an uninspiring handcuff with no stand-alone value."
61,Chase Edmonds,Cardinals,RB,60,303,5.1,4,12,105,1,82.8,69,298,4.3,2,17,129,1,78.59,"Edmonds is expected to enter the 2020 season as Kenyan Drake's primary backup. The third-year back has operated as a reserve in 28 of 29 career games, but the one exception was an explosive Week 7 effort against the Giants last season in which he put up 150 yards and three scores on 29 touches. Edmonds went on to touch the ball nine times the rest of the season while dealing with injuries and the emergence of Drake. Edmonds' handcuff status is all but secured with David Johnson no longer in the mix (seventh-round pick Eno Benjamin is his chief competition), so though the 24-year-old has no stand-alone value, he's a valuable handcuff and thus worth a stash in deeper leagues."
62,Rashaad Penny,Seahawks,RB,65,370,5.7,3,8,83,1,75.3,66,292,4.4,2,14,112,1,70.43,"A 2018 first-round pick, Penny's contributions have thus far been limited by the combination of his injuries and the standout play of Chris Carson. The good news is that the San Diego State product has been very effective when called upon. Penny's 5.26 YPC ranks third, and his 2.05 YAC ranks 11th among 52 RBs with 150 carries since he entered the league. Penny forced his way into an expanded role and appeared on the verge of a breakout with rushing lines of 14-129-1 and 15-74-1 during Weeks 12 and 13 last season, but a Week 14 injury ended his season prematurely. The injury could lead to a stint on the PUP list to open 2020, but Penny is only 24 and remains an intriguing post-hype target. If a Week 1 return appears likely, he'll be well worth a late-round flier in Seattle's high-scoring offense."
63,Adrian Peterson,FA,RB,211,898,4.3,5,17,142,0,147,80,327,4.1,2,13,101,0,68.13,"Peterson is back in Washington, though he'll have a ton of competition for touches this time around, courtesy of Derrius Guice, Antonio Gibson, Bryce Love, J.D. McKissic and Peyton Barber. With Guice out most of 2019, Peterson ranked 17th among running backs with 898 rushing yards but didn't score much (five TDs) and was a nonfactor as a receiver (23 targets). Peterson is still an effective rusher at age 35, but the reigning No. 33 scoring fantasy back is a strong bet for a significant decrease in touches in 2020. He shouldn't be on your draft radar."
66,Rex Burkhead,Patriots,RB,65,302,4.6,3,27,279,0,101.1,37,157,4.2,1,20,183,1,66.1,"Burkhead returns to a crowded backfield in New England that includes Sony Michel, James White, Damien Harris and Brandon Bolden. Burkhead is entering his age-30 season having never cleared 74 carries or 38 targets in a season. His best fantasy finish was 39th in 2017. Burkhead would need multiple injuries to emerge as a reliable weekly fantasy starter, and even then, he might not be overly appealing with Tom Brady no longer under center. Burkhead is worth a look only in the deepest of leagues."
67,Chris Thompson,Jaguars,RB,37,138,3.7,0,42,378,0,93.6,37,162,4.4,1,21,179,1,62.94,No outlook available.
68,Dion Lewis,Giants,RB,54,209,3.9,0,25,164,1,66.3,60,245,4.1,1,17,118,1,62.76,"Lewis signed with the Giants during the offseason and is expected to work as Saquon Barkley's primary backup. The 29-year-old's best fantasy season was a 13th-place finish with the Patriots in 2017, though his efficiency hasn't been nearly as good the past two seasons in Tennessee. Lewis will get the occasional change-of-pace carry and spell Barkley in occasional passing situations, but the journeyman will need an injury to push for 15-plus touches. Lewis is a fine handcuff stash."
69,Damien Harris,Patriots,RB,4,12,3,0,0,0,0,1.2,79,328,4.1,2,8,65,0,61.89,"Harris enters his second NFL season as part of a crowded New England backfield that includes Sony Michel, James White, Rex Burkhead and Brandon Bolden. A third-round pick last offseason, Harris was limited to five snaps during his rookie campaign. He lacks top-end speed (4.57 40-yard dash) but has decent size (5-foot-10, 216 pounds) and is a powerful, downhill runner with exceptional ball security (zero fumbles in 2018). He's also a good pass-catcher and blocker, which supplies him with three-down upside in the pros. Harris is buried in New England, but one injury could vault him into a big role. He's an end-of-bench stash at best."
71,Frank Gore,Jets,RB,166,599,3.6,2,13,100,0,94.9,71,268,3.8,1,12,94,0,57.63,No outlook available.
72,Dare Ogunbowale,Buccaneers,RB,11,17,1.5,2,35,286,0,75.3,28,115,4.2,1,18,144,1,56.66,No outlook available.
73,Carlos Hyde,Seahawks,RB,245,1070,4.4,6,10,42,0,153.2,72,300,4.2,2,8,49,0,55.1,"Hyde is a free agent following stops with the 49ers, Jaguars, Chiefs and Texans during his first six NFL campaigns. Hyde's pro career appeared to be on the brink after he was the odd man out in Kansas City last fall, but the veteran back got back on track with Houston, ranking 11th in the league with 245 carries. Hyde averaged a healthy 4.4 YPC and scored six touchdowns, but a minimal role as a receiver (16 targets) limited him to a 30th-place finish in fantasy points. He's now 28 years old."
74,Reggie Bonnafon,Panthers,RB,16,116,7.3,1,6,57,0,29.3,46,190,4.1,1,14,109,0,53.17,No outlook available.
76,Gus Edwards,Ravens,RB,133,711,5.3,2,7,45,0,92.6,74,341,4.6,2,4,30,0,50.34,"Edwards was the second man up for carries behind Mark Ingram last season, but he could fall to third this season with second-round pick J.K. Dobbins in the mix. The backup gig was generous to Edwards in 2019, as it allowed him 133 carries in the league's highest-scoring offense. Edwards is a nonfactor in the passing game (he has 270 carries and 10 targets in two seasons), but his rushing efficiency has been nothing short of elite. In fact, Edwards' career 5.3 YPC is best among 40 backs with 200-plus carries since he entered the league as an undrafted free agent in 2018. Edwards can no longer be considered Ingram's clear handcuff, and even if Ingram misses time, Edwards would work in a timeshare with Dobbins and perhaps Justice Hill. Edwards is worth a pick only in deep non-PPR leagues."
78,Patrick Laird,Dolphins,RB,62,168,2.7,1,23,204,0,68.2,21,84,4.1,0,18,141,1,46.04,No outlook available.
79,Benny Snell Jr.,Steelers,RB,108,426,3.9,2,3,23,0,57.9,73,297,4.1,2,2,18,0,45.85,No outlook available.
80,Ryquell Armstead,Jaguars,RB,35,108,3.1,0,14,144,2,51.2,50,206,4.1,1,8,69,0,45.03,"Armstead enters his second professional season as the primary backup to Leonard Fournette. The 2019 fifth-round pick produced 108 yards on 35 carries (3.1 YPC, 1.9 YAC) and 144 yards and a pair of touchdowns on 24 targets (6.0 YPT) off the bench as a rookie. Fournette was the topic of trade rumors during the offseason, so if he gets moved, Armstead will be a more appealing fantasy asset. In the meantime, however, he's no more than a handcuff option in deeper leagues."
81,Malcolm Brown,Rams,RB,69,255,3.7,5,2,16,0,59.1,39,157,4.1,2,7,55,0,39.87,"With Todd Gurley out of the picture in Los Angeles, Brown will compete with second-year Darrell Henderson and rookie Cam Akers for touches in the Rams' backfield. Brown is entering his sixth NFL season having yet to eclipse 69 carries or 11 targets in a campaign. Brown could factor in on early downs and near the goal line (he's 224 pounds and scored five touchdowns last season) but is a long shot for anything more than situational duties and is unlikely to factor in as a receiver. Consider him for your bench in deep leagues."
82,Ryan Nall,Bears,RB,2,8,4,0,0,0,0,0.8,39,161,4.2,1,9,69,0,39.35,No outlook available.
83,Qadree Ollison,Falcons,RB,22,50,2.3,4,1,7,0,30.7,46,188,4,2,5,38,0,38.08,No outlook available.
85,Kyle Juszczyk,49ers,RB,3,7,2.3,0,20,239,1,50.6,5,19,4.1,0,15,150,1,37.13,No outlook available.
86,C.J. Ham,Vikings,RB,7,17,2.4,0,17,149,1,37.6,9,36,4.1,0,15,133,1,36.59,No outlook available.
87,DeAndre Washington,Chiefs,RB,108,387,3.6,3,36,292,0,121.9,14,55,4,0,9,68,0,25.75,"Washington signed with the Chiefs during the offseason. The former Raiders' reserve will compete with Darwin Thompson and Darrel Williams for touches behind top backs Clyde Edwards-Helaire and Damien Williams. Washington would need multiple injuries to find his way to a substantial role, though it would come in one of the league's best situations for a back. Washington, who racked up 1,735 yards on 370 touches in four seasons in Oakland, should be on watch lists but doesn't need to be drafted."
88,Ty Montgomery,Saints,RB,32,103,3.2,0,13,90,0,32.3,25,111,4.5,1,4,35,0,25.09,No outlook available.
89,Royce Freeman,Broncos,RB,132,496,3.8,3,43,256,1,142.2,33,130,4,1,4,28,0,24.98,"Freeman looked like a budding star after he dominated the preseason of his rookie campaign, but the 2018 third-round pick quickly fell behind undrafted Phillip Lindsay. Freeman's stock took another hit this past offseason, when Denver signed Melvin Gordon. Freeman's rushing efficiency hasn't been good (3.8 YPC, 1.7 YAC last season), but he supplied a reliable set of hands with the position's third-best catch rate (86%) on 50 targets last season. Freeman needs two injuries to find his way to fantasy relevance in 2020 and shouldn't be drafted."
90,Devontae Booker,Raiders,RB,2,9,4.5,0,6,57,0,12.6,31,124,4,1,4,33,0,24.87,No outlook available.
91,Brian Hill,Falcons,RB,78,323,4.1,2,10,69,1,67.2,18,75,4.2,0,7,57,0,24.37,No outlook available.
92,Mike Boone,Vikings,RB,49,273,5.6,3,3,17,0,50,31,131,4.3,1,2,16,0,23.66,No outlook available.
94,Dalyn Dawkins,Titans,RB,11,26,2.4,0,0,0,0,2.6,13,55,4.2,0,7,57,0,22.54,No outlook available.
95,Dontrell Hilliard,Browns,RB,13,49,3.8,2,12,92,0,38.1,20,85,4.2,1,4,32,0,22.16,No outlook available.
96,Justice Hill,Ravens,RB,58,225,3.9,2,8,70,0,49.5,10,41,4.2,0,7,59,0,20.9,"Hill enters his second NFL season still a bit buried on a Ravens' depth chart that includes Mark Ingram, J.K. Dobbins and Gus Edwards. Hill was active for all 16 of Baltimore's regular-season games as a rookie, but the fourth-round pick was limited to 66 touches on 181 snaps. Interestingly, Hill was targeted four times in Week 16 before he paced the backfield in snaps (46), pass routes (38) and targets (five) in the playoff loss to Tennessee. Hill's expanded role in passing situations down the stretch is intriguing, but the Ravens' backfield is far too crowded to make the 22-year-old worthy of a draft pick."
97,Buddy Howell,Texans,RB,5,10,2,0,0,0,0,1,23,94,4.2,1,4,31,0,20.76,No outlook available.
99,Jeff Wilson Jr.,49ers,RB,27,105,3.9,4,3,34,1,46.9,23,95,4.1,1,2,16,0,18.56,No outlook available.
100,Corey Clement,Eagles,RB,0,0,0,0,0,0,0,-4,21,87,4.2,1,2,18,0,18.55,No outlook available.
101,Bo Scarbrough,Lions,RB,89,377,4.2,1,1,5,0,43.2,16,66,4.2,0,4,35,0,17.26,No outlook available.
102,Jordan Wilkins,Colts,RB,51,307,6,2,7,43,0,54,13,59,4.4,0,4,33,0,16.99,"Wilkins is buried behind Marlon Mack, Jonathan Taylor and Nyheim Hines on the depth chart in Indianapolis. Granted, it's a small sample, but Wilkins has been effective. His career 5.8 YPC trails only that of Raheem Mostert among all backs with at least 100 carries the past two seasons. The 2018 fifth-round pick is underrated but would need two injuries to find his way to fantasy value."
103,Ameer Abdullah,Vikings,RB,23,115,5,0,15,88,1,39.3,9,36,4.1,0,6,48,0,16.89,No outlook available.
104,Andrew Beck,Broncos,RB,1,3,3,0,9,90,1,24.54,0,0,0,0,8,64,0,16.04,No outlook available.
105,Alec Ingold,Raiders,RB,10,17,1.7,0,6,44,1,18.1,12,49,4.1,0,4,33,0,15.75,No outlook available.
106,Darwin Thompson,Chiefs,RB,37,128,3.5,1,9,43,0,32.1,10,42,4.1,0,4,34,0,15.34,"Thompson enters his second NFL season in a competition for touches with the likes of Darrel Williams and DeAndre Washington behind Damien Williams and Clyde Edwards-Helaire in Kansas City. Thompson didn't make much noise as a rookie, registering 171 yards on 46 touches. The 5-foot-8, 200-pound scat back remains an intriguing deep sleeper, considering Kansas City's RB-friendly offense, as well as Thompson's elite efficiency at Utah State. However, the 2019 sixth-round pick would surely need an injury or two to find his way onto the fantasy radar following the team's first-round investment in Edwards-Helaire."
107,Khari Blasingame,Titans,RB,0,0,0,0,4,54,0,9.4,0,0,0,0,7,60,0,15.27,No outlook available.
109,Patrick Ricard,Ravens,"DT, RB",154,470,3.1,6,16,115,1,18.7,10,39,3.8,0,4,32,0,14.27,No outlook available.
110,Peyton Barber,FA,RB,0,0,0,0,0,0,0,116.5,17,67,4.1,1,2,17,0,14.19,"Barber signed with Washington following four seasons in Tampa Bay. The 26-year-old will have his hands full finding a consistent role with Derrius Guice, Antonio Gibson, Bryce Love, Adrian Peterson and J.D. McKissic also in the fold. Although durability and age are major questions for the backs above him, it's unlikely that all will miss enough time for Barber to land on the fantasy radar. An early-down plodder with poor efficiency stats (3.6 YPC, 1.7 YAC, 4.7 YPT), the 26-year-old shouldn't be drafted."
112,Mike Davis,Panthers,RB,58,225,3.9,2,8,70,0,11.9,10,41,4.2,0,4,30,0,13.91,No outlook available.
113,Justice Hill,Ravens,RB,3,10,3.3,0,2,13,0,49.5,4,16,4.2,0,5,35,0,13.38,"Hill enters his second NFL season still a bit buried on a Ravens' depth chart that includes Mark Ingram, J.K. Dobbins and Gus Edwards. Hill was active for all 16 of Baltimore's regular-season games as a rookie, but the fourth-round pick was limited to 66 touches on 181 snaps. Interestingly, Hill was targeted four times in Week 16 before he paced the backfield in snaps (46), pass routes (38) and targets (five) in the playoff loss to Tennessee. Hill's expanded role in passing situations down the stretch is intriguing, but the Ravens' backfield is far too crowded to make the 22-year-old worthy of a draft pick."
114,T.J. Logan,Buccaneers,RB,15,68,4.5,3,9,111,1,4.3,7,29,4.3,0,4,33,0,13.37,No outlook available.
115,Brandon Bolden,Patriots,RB,15,39,2.6,0,2,9,0,50.9,7,30,4.1,0,4,33,0,13.3,No outlook available.
116,Elijhaa Penny,Giants,RB,38,205,5.4,0,34,233,1,12.8,7,30,4.3,0,4,35,0,13.12,No outlook available.
117,J.D. McKissic,FA,RB,8,12,1.5,0,0,0,0,83.8,7,31,4.2,0,4,31,0,12.69,No outlook available.
118,Josh Adams,Jets,RB,17,63,3.7,0,13,124,0,1.2,16,67,4.1,0,2,14,0,12.02,No outlook available.
119,T.J. Yeldon,Bills,RB,4,9,2.3,0,2,22,0,29.7,3,14,4.1,0,4,37,0,11.69,No outlook available.
120,Anthony Sherman,Chiefs,RB,1,1,1,1,5,42,0,5.1,4,17,4.1,0,4,35,0,11.26,No outlook available.
121,Andy Janovich,Browns,RB,,,,,,,,15.3,8,31,4.1,0,3,22,0,11.14,No outlook available.
123,Derek Watt,Steelers,RB,0,0,0,0,1,8,0,13.2,0,0,0,0,4,36,0,9.43,No outlook available.
124,Ricky Ortiz,Saints,RB,3,7,2.3,0,5,41,0,1.8,2,8,4.1,0,4,31,0,8.9,No outlook available.
125,Patrick DiMarco,Bills,RB,,,,,,,,9.8,8,32,4.1,0,2,16,0,8.69,No outlook available.
127,Jordan Scarlett,Panthers,RB,0,0,0,0,2,13,1,0.9,0,0,0,0,4,34,0,8.3,No outlook available.
128,Cethan Carter,Bengals,RB,9,40,4.4,0,1,9,0,9.3,6,25,4.1,0,2,16,0,8.29,No outlook available.
129,Taiwan Jones,Bills,RB,3,9,3,0,0,0,0,5.9,4,16,4,0,2,18,0,7.29,No outlook available.
130,John Kelly,Rams,RB,5,8,1.6,0,1,13,0,0.9,4,15,4.1,0,2,20,0,6.92,No outlook available.
131,Keith Smith,Falcons,RB,,,,,,,,3.1,11,46,4.1,0,0,0,0,6.78,No outlook available.
134,Jakob Johnson,Patriots,RB,24,122,5.1,0,1,9,0,1.5,8,35,4.3,0,0,0,0,5.39,No outlook available.
135,Kerrith Whyte,Steelers,RB,4,21,5.3,0,6,71,0,14.1,8,34,4.2,0,0,0,0,5.02,No outlook available.
136,D'Ernest Johnson,Browns,RB,0,0,0,0,0,0,0,15.2,0,0,0,0,2,20,0,5.01,No outlook available.
138,Wayne Gallman,Giants,RB,0,0,0,0,2,4,0,48.2,0,0,0,0,2,18,0,4.54,No outlook available.
139,Roosevelt Nix,Colts,RB,0,0,0,0,2,23,1,2.4,0,0,0,0,2,16,0,4.22,No outlook available.
140,Nick Bellore,Seahawks,RB,74,135,1.8,3,14,63,0,10.3,7,28,4.1,0,0,0,0,3.96,No outlook available.
141,Kalen Ballage,Dolphins,RB,,,,,,,,51.8,6,26,4.1,0,0,0,0,3.92,No outlook available.
143,Dexter Williams,Packers,RB,6,11,1.8,1,2,6,0,1.1,5,21,4,0,0,0,0,3.33,No outlook available.
144,Alex Armah,Panthers,RB,9,27,3,0,3,23,0,9.7,5,21,4.1,0,0,0,0,3.26,No outlook available.
145,Devine Ozigbo,Jaguars,RB,8,60,7.5,0,1,6,0,8,4,15,3.7,0,0,0,0,2.86,No outlook available.
146,Dwayne Washington,Saints,RB,41,141,3.4,3,15,167,1,7.6,3,14,4,0,0,0,0,2.4,No outlook available.
147,Darrel Williams,Chiefs,RB,1,10,10,0,2,11,0,67.8,0,0,0,0,0,0,0,2.33,No outlook available.
148,Tyler Ervin,Packers,RB,,,,,,,,4.1,2,8,4,0,0,0,0,1.59,No outlook available.
150,Travis Homer,Seahawks,RB,,,,,,,,28,,,,,,,,0.36,No outlook available.
